"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ITM2A",9.67867404808834e-239,-0.438592636000377,0.483,0.91,1.88085672776501e-234
"SNHG8",3.28169189959323e-231,-0.372969591593241,0.816,0.991,6.37731186847952e-227
"PTPRCAP",1.00474932319797e-230,-0.458332612553697,0.668,0.968,1.95252935977062e-226
"MGST1",1.30887140294557e-229,-0.476589512949586,0.527,0.907,2.54352979734413e-225
"RPL26",1.47126578689675e-225,-0.253964099723085,0.952,0.997,2.85911080367646e-221
"HOXA9",8.74843824108826e-225,-0.284525671469264,0.375,0.808,1.70008400339068e-220
"RPS28",1.30877728315916e-217,-0.266961924735142,0.958,0.999,2.54334689436319e-213
"MYL6",5.72892029994272e-217,0.609186800020824,0.883,0.997,1.11330108188787e-212
"TAF1D",5.1396402221417e-213,-0.278168688478729,0.78,0.987,9.98786284368796e-209
"EPB41L4A-AS1",1.61070752656616e-209,-0.337214824030969,0.756,0.979,3.13008793637603e-205
"GNPTAB",2.70608221432544e-208,-0.263909240922688,0.535,0.891,5.25872956709864e-204
"XBP1",4.78618896507524e-207,-0.38212666003168,0.679,0.955,9.30100101583071e-203
"TKT",7.54928664104504e-206,-0.46643199619401,0.847,0.991,1.46705287295428e-201
"SPNS3",6.82343328293829e-200,-0.275405423945365,0.53,0.931,1.3259977898734e-195
"CDCA7",1.40736770258913e-196,-0.277077269489579,0.574,0.934,2.73493765644145e-192
"RPL39",6.44683520880867e-193,-0.258708946296584,0.946,0.998,1.25281348612779e-188
"CSF3R",1.21548381399347e-191,-0.327947920124638,0.396,0.819,2.3620496957335e-187
"S100A4",3.57568356528599e-191,0.828631613246323,0.864,0.987,6.94862587242026e-187
"ZFAS1",2.18559861491192e-190,-0.377666264365102,0.856,0.992,4.24727378835832e-186
"PXK",2.30880181441538e-189,-0.306778844471004,0.572,0.891,4.4866945659534e-185
"ALOX5AP",2.34822326880796e-187,0.952001496586989,0.652,0.311,4.5633022782745e-183
"RP11-620J15.3",2.55673049926162e-183,-0.40791504211762,0.721,0.988,4.9684943792151e-179
"ZFP36L2",4.99289913578477e-182,-0.410029018809156,0.82,0.99,9.70270089057054e-178
"NPM1",7.19213488415852e-181,-0.285056306117056,0.972,0.997,1.39764757203852e-176
"SERPINB1",1.47352834224585e-179,-0.540506180048261,0.812,0.989,2.86350762748635e-175
"IGFBP2",4.21914197268397e-179,-0.254588254167931,0.159,0.547,8.19905859551676e-175
"MPO",3.45874335567822e-177,-1.32012679233237,0.711,0.938,6.72137596308949e-173
"TAOK3",2.72878151736764e-174,-0.271458897635801,0.758,0.973,5.30284112270053e-170
"SNHG7",2.27182876418392e-172,-0.457221896616024,0.827,0.988,4.41484483743861e-168
"CLEC4A",4.56018134441298e-168,0.268326810573765,0.443,0.068,8.86180040659774e-164
"HMGA1",3.77768129512593e-167,-0.308193654314618,0.825,0.988,7.34116806081822e-163
"MYL12A",4.896994563317e-166,0.599942904626241,0.851,0.986,9.51632953489392e-162
"CST3",4.58056142229818e-160,2.08282338769672,0.868,0.955,8.90140501195204e-156
"RPS26",1.19193872151064e-158,-0.263136957509636,0.87,0.994,2.31629451751162e-154
"MPG",2.2543590125519e-156,-0.268428702154824,0.787,0.982,4.38089586909211e-152
"HSD17B11",2.62412469423692e-153,-0.258982369522312,0.751,0.976,5.0994615183106e-149
"KIAA0125",2.26888176005503e-152,-0.756109941723832,0.448,0.79,4.40911792431493e-148
"TMSB10",3.57218635913173e-147,0.504791132448403,0.922,0.997,6.94182975170069e-143
"FCER1A",2.38137870160411e-143,0.730261081203292,0.41,0.079,4.62773323082727e-139
"KCTD12",7.73357758330084e-141,0.319291087284502,0.414,0.081,1.50286613176285e-136
